ratio    , freq_ghz,   wn_um ,   wp_um
   2.0000,   7.9947,   0.1000,   0.2000
   2.0000,  11.2987,   0.2000,   0.4000
   2.0000,  13.5234,   0.3000,   0.6000
   2.0000,  15.1383,   0.4000,   0.8000
   2.0000,  16.3201,   0.5000,   1.0000
   2.0000,  17.4377,   0.6000,   1.2000
   2.0000,  18.1913,   0.7000,   1.4000
   2.0000,  18.2852,   1.0000,   2.0000
   2.0000,  18.5095,   0.8000,   1.6000
   2.0000,  18.5622,   0.9000,   1.8000
   2.2500,   8.1622,   0.1000,   0.2250
   2.2500,  11.4127,   0.2000,   0.4500
   2.2500,  13.5946,   0.3000,   0.6750
   2.2500,  15.1493,   0.4000,   0.9000
   2.2500,  16.3862,   0.5000,   1.1250
   2.2500,  17.4883,   0.6000,   1.3500
   2.2500,  18.1020,   1.0000,   2.2500
   2.2500,  18.1513,   0.7000,   1.5750
   2.2500,  18.4395,   0.9000,   2.0250
   2.2500,  18.4878,   0.8000,   1.8000
   2.5000,   8.2902,   0.1000,   0.2500
   2.5000,  11.5534,   0.2000,   0.5000
   2.5000,  13.5966,   0.3000,   0.7500
   2.5000,  15.1602,   0.4000,   1.0000
   2.5000,  16.3974,   0.5000,   1.2500
   2.5000,  17.3305,   0.6000,   1.5000
   2.5000,  17.7942,   1.0000,   2.5000
   2.5000,  18.0425,   0.7000,   1.7500
   2.5000,  18.1690,   0.9000,   2.2500
   2.5000,  18.3182,   0.8000,   2.0000
   2.7500,   8.3711,   0.1000,   0.2750
   2.7500,  11.5954,   0.2000,   0.5500
   2.7500,  13.6245,   0.3000,   0.8250
   2.7500,  15.0983,   0.4000,   1.1000
   2.7500,  16.3775,   0.5000,   1.3750
   2.7500,  17.2710,   0.6000,   1.6500
   2.7500,  17.4856,   1.0000,   2.7500
   2.7500,  17.8367,   0.9000,   2.4750
   2.7500,  17.8490,   0.7000,   1.9250
   2.7500,  18.0857,   0.8000,   2.2000
   3.0000,   8.4299,   0.1000,   0.3000
   3.0000,  11.6030,   0.2000,   0.6000
   3.0000,  13.5673,   0.3000,   0.9000
   3.0000,  15.0720,   0.4000,   1.2000
   3.0000,  16.2398,   0.5000,   1.5000
   3.0000,  17.1028,   0.6000,   1.8000
   3.0000,  17.1423,   1.0000,   3.0000
   3.0000,  17.5333,   0.9000,   2.7000
   3.0000,  17.6095,   0.7000,   2.1000
   3.0000,  17.7869,   0.8000,   2.4000
