l_um,wn_um,wp_um,freq_ghz
   0.1100,   0.2000,   0.6000,  11.6528
   0.1100,   0.2000,   0.5500,  11.6244
   0.1000,   0.2000,   0.6000,  11.6030
   0.1000,   0.2000,   0.5500,  11.5954
   0.1100,   0.2000,   0.5000,  11.5667
   0.1000,   0.2000,   0.5000,  11.5534
   0.1100,   0.2000,   0.4500,  11.5042
   0.1000,   0.2000,   0.4500,  11.4127
   0.1100,   0.2000,   0.4000,  11.3444
   0.1000,   0.2000,   0.4000,  11.2987
   0.1200,   0.2000,   0.5500,  11.1202
   0.1200,   0.2000,   0.6000,  11.0902
   0.1200,   0.2000,   0.5000,  11.0790
   0.1200,   0.2000,   0.4500,  11.0091
   0.1200,   0.2000,   0.4000,  10.8655
   0.1300,   0.2000,   0.5500,  10.3898
   0.1300,   0.2000,   0.6000,  10.3817
   0.1300,   0.2000,   0.5000,  10.3586
   0.1300,   0.2000,   0.4500,  10.2788
   0.1300,   0.2000,   0.4000,  10.1554
   0.1400,   0.2000,   0.5500,   9.5448
   0.1400,   0.2000,   0.6000,   9.5420
   0.1400,   0.2000,   0.5000,   9.5292
   0.1400,   0.2000,   0.4500,   9.4473
   0.1400,   0.2000,   0.4000,   9.3540
   0.1500,   0.2000,   0.5000,   8.7494
   0.1500,   0.2000,   0.5500,   8.7307
   0.1500,   0.2000,   0.6000,   8.6988
   0.1500,   0.2000,   0.4500,   8.6874
   0.1500,   0.2000,   0.4000,   8.5855
