$DATA1 SOURCE='HSPICE' VERSION='N-2017.12-SP2 linux64' PARAM_COUNT=3
$OPTION MEASFORM=3
.TITLE '* ======================================================='
index,wn,ratio,t_rise_1,t_rise_2,freq_ghz,wn_um,wp_um,ratio_out,temper,alter#
   1.0000, 1.000e-07,   2.0000, 2.799e-09, 2.924e-09,   7.9947,   0.1000,   0.2000,   2.0000,  25.0000,1
   2.0000, 1.000e-07,   2.2500, 2.746e-09, 2.869e-09,   8.1622,   0.1000,   0.2250,   2.2500,  25.0000,1
   3.0000, 1.000e-07,   2.5000, 2.707e-09, 2.828e-09,   8.2902,   0.1000,   0.2500,   2.5000,  25.0000,1
   4.0000, 1.000e-07,   2.7500, 2.672e-09, 2.791e-09,   8.3711,   0.1000,   0.2750,   2.7500,  25.0000,1
   5.0000, 1.000e-07,   3.0000, 2.537e-09, 2.656e-09,   8.4299,   0.1000,   0.3000,   3.0000,  25.0000,1
   6.0000, 2.000e-07,   2.0000, 2.050e-09, 2.139e-09,  11.2987,   0.2000,   0.4000,   2.0000,  25.0000,1
   7.0000, 2.000e-07,   2.2500, 2.018e-09, 2.105e-09,  11.4127,   0.2000,   0.4500,   2.2500,  25.0000,1
   8.0000, 2.000e-07,   2.5000, 2.000e-09, 2.087e-09,  11.5534,   0.2000,   0.5000,   2.5000,  25.0000,1
   9.0000, 2.000e-07,   2.7500, 1.914e-09, 2.000e-09,  11.5954,   0.2000,   0.5500,   2.7500,  25.0000,1
  10.0000, 2.000e-07,   3.0000, 1.914e-09, 2.000e-09,  11.6030,   0.2000,   0.6000,   3.0000,  25.0000,1
  11.0000, 3.000e-07,   2.0000, 1.747e-09, 1.821e-09,  13.5234,   0.3000,   0.6000,   2.0000,  25.0000,1
  12.0000, 3.000e-07,   2.2500, 1.740e-09, 1.814e-09,  13.5946,   0.3000,   0.6750,   2.2500,  25.0000,1
  13.0000, 3.000e-07,   2.5000, 1.738e-09, 1.812e-09,  13.5966,   0.3000,   0.7500,   2.5000,  25.0000,1
  14.0000, 3.000e-07,   2.7500, 1.667e-09, 1.740e-09,  13.6245,   0.3000,   0.8250,   2.7500,  25.0000,1
  15.0000, 3.000e-07,   3.0000, 1.671e-09, 1.745e-09,  13.5673,   0.3000,   0.9000,   3.0000,  25.0000,1
  16.0000, 4.000e-07,   2.0000, 1.591e-09, 1.657e-09,  15.1383,   0.4000,   0.8000,   2.0000,  25.0000,1
  17.0000, 4.000e-07,   2.2500, 1.588e-09, 1.654e-09,  15.1493,   0.4000,   0.9000,   2.2500,  25.0000,1
  18.0000, 4.000e-07,   2.5000, 1.588e-09, 1.654e-09,  15.1602,   0.4000,   1.0000,   2.5000,  25.0000,1
  19.0000, 4.000e-07,   2.7500, 1.524e-09, 1.590e-09,  15.0983,   0.4000,   1.1000,   2.7500,  25.0000,1
  20.0000, 4.000e-07,   3.0000, 1.529e-09, 1.595e-09,  15.0720,   0.4000,   1.2000,   3.0000,  25.0000,1
  21.0000, 5.000e-07,   2.0000, 1.488e-09, 1.549e-09,  16.3201,   0.5000,   1.0000,   2.0000,  25.0000,1
  22.0000, 5.000e-07,   2.2500, 1.485e-09, 1.546e-09,  16.3862,   0.5000,   1.1250,   2.2500,  25.0000,1
  23.0000, 5.000e-07,   2.5000, 1.485e-09, 1.546e-09,  16.3974,   0.5000,   1.2500,   2.5000,  25.0000,1
  24.0000, 5.000e-07,   2.7500, 1.429e-09, 1.490e-09,  16.3775,   0.5000,   1.3750,   2.7500,  25.0000,1
  25.0000, 5.000e-07,   3.0000, 1.441e-09, 1.502e-09,  16.2398,   0.5000,   1.5000,   3.0000,  25.0000,1
  26.0000, 6.000e-07,   2.0000, 1.473e-09, 1.530e-09,  17.4377,   0.6000,   1.2000,   2.0000,  25.0000,1
  27.0000, 6.000e-07,   2.2500, 1.471e-09, 1.528e-09,  17.4883,   0.6000,   1.3500,   2.2500,  25.0000,1
  28.0000, 6.000e-07,   2.5000, 1.418e-09, 1.475e-09,  17.3305,   0.6000,   1.5000,   2.5000,  25.0000,1
  29.0000, 6.000e-07,   2.7500, 1.373e-09, 1.430e-09,  17.2710,   0.6000,   1.6500,   2.7500,  25.0000,1
  30.0000, 6.000e-07,   3.0000, 1.452e-09, 1.510e-09,  17.1028,   0.6000,   1.8000,   3.0000,  25.0000,1
  31.0000, 7.000e-07,   2.0000, 1.423e-09, 1.478e-09,  18.1913,   0.7000,   1.4000,   2.0000,  25.0000,1
  32.0000, 7.000e-07,   2.2500, 1.426e-09, 1.481e-09,  18.1513,   0.7000,   1.5750,   2.2500,  25.0000,1
  33.0000, 7.000e-07,   2.5000, 1.379e-09, 1.435e-09,  18.0425,   0.7000,   1.7500,   2.5000,  25.0000,1
  34.0000, 7.000e-07,   2.7500, 1.349e-09, 1.406e-09,  17.8490,   0.7000,   1.9250,   2.7500,  25.0000,1
  35.0000, 7.000e-07,   3.0000, 1.496e-09, 1.553e-09,  17.6095,   0.7000,   2.1000,   3.0000,  25.0000,1
  36.0000, 8.000e-07,   2.0000, 1.401e-09, 1.455e-09,  18.5095,   0.8000,   1.6000,   2.0000,  25.0000,1
  37.0000, 8.000e-07,   2.2500, 1.407e-09, 1.461e-09,  18.4878,   0.8000,   1.8000,   2.2500,  25.0000,1
  38.0000, 8.000e-07,   2.5000, 1.366e-09, 1.421e-09,  18.3182,   0.8000,   2.0000,   2.5000,  25.0000,1
  39.0000, 8.000e-07,   2.7500, 1.416e-09, 1.471e-09,  18.0857,   0.8000,   2.2000,   2.7500,  25.0000,1
  40.0000, 8.000e-07,   3.0000, 1.490e-09, 1.547e-09,  17.7869,   0.8000,   2.4000,   3.0000,  25.0000,1
  41.0000, 9.000e-07,   2.0000, 1.401e-09, 1.455e-09,  18.5622,   0.9000,   1.8000,   2.0000,  25.0000,1
  42.0000, 9.000e-07,   2.2500, 1.412e-09, 1.466e-09,  18.4395,   0.9000,   2.0250,   2.2500,  25.0000,1
  43.0000, 9.000e-07,   2.5000, 1.351e-09, 1.406e-09,  18.1690,   0.9000,   2.2500,   2.5000,  25.0000,1
  44.0000, 9.000e-07,   2.7500, 1.495e-09, 1.551e-09,  17.8367,   0.9000,   2.4750,   2.7500,  25.0000,1
  45.0000, 9.000e-07,   3.0000, 1.571e-09, 1.628e-09,  17.5333,   0.9000,   2.7000,   3.0000,  25.0000,1
  46.0000, 1.000e-06,   2.0000, 1.419e-09, 1.473e-09,  18.2852,   1.0000,   2.0000,   2.0000,  25.0000,1
  47.0000, 1.000e-06,   2.2500, 1.434e-09, 1.489e-09,  18.1020,   1.0000,   2.2500,   2.2500,  25.0000,1
  48.0000, 1.000e-06,   2.5000, 1.416e-09, 1.472e-09,  17.7942,   1.0000,   2.5000,   2.5000,  25.0000,1
  49.0000, 1.000e-06,   2.7500, 1.514e-09, 1.572e-09,  17.4856,   1.0000,   2.7500,   2.7500,  25.0000,1
  50.0000, 1.000e-06,   3.0000, 1.609e-09, 1.668e-09,  17.1423,   1.0000,   3.0000,   3.0000,  25.0000,1
