$DATA1 SOURCE='HSPICE' VERSION='N-2017.12-SP2 linux64' PARAM_COUNT=4
$OPTION MEASFORM=3
.TITLE '* ======================================================='
index,wn,wp,l,t_rise_1,t_rise_2,freq_ghz,l_um,wn_um,wp_um,temper,alter#
   1.0000, 2.000e-07, 4.000e-07, 1.000e-07, 2.050e-09, 2.139e-09,  11.2987,   0.1000,   0.2000,   0.4000,  25.0000,1
   2.0000, 2.000e-07, 4.000e-07, 1.100e-07, 2.132e-09, 2.221e-09,  11.3444,   0.1100,   0.2000,   0.4000,  25.0000,1
   3.0000, 2.000e-07, 4.000e-07, 1.200e-07, 2.220e-09, 2.312e-09,  10.8655,   0.1200,   0.2000,   0.4000,  25.0000,1
   4.0000, 2.000e-07, 4.000e-07, 1.300e-07, 2.367e-09, 2.465e-09,  10.1554,   0.1300,   0.2000,   0.4000,  25.0000,1
   5.0000, 2.000e-07, 4.000e-07, 1.400e-07, 2.444e-09, 2.551e-09,   9.3540,   0.1400,   0.2000,   0.4000,  25.0000,1
   6.0000, 2.000e-07, 4.000e-07, 1.500e-07, 2.632e-09, 2.749e-09,   8.5855,   0.1500,   0.2000,   0.4000,  25.0000,1
   7.0000, 2.000e-07, 4.500e-07, 1.000e-07, 2.018e-09, 2.105e-09,  11.4127,   0.1000,   0.2000,   0.4500,  25.0000,1
   8.0000, 2.000e-07, 4.500e-07, 1.100e-07, 2.021e-09, 2.108e-09,  11.5042,   0.1100,   0.2000,   0.4500,  25.0000,1
   9.0000, 2.000e-07, 4.500e-07, 1.200e-07, 2.192e-09, 2.283e-09,  11.0091,   0.1200,   0.2000,   0.4500,  25.0000,1
  10.0000, 2.000e-07, 4.500e-07, 1.300e-07, 2.239e-09, 2.337e-09,  10.2788,   0.1300,   0.2000,   0.4500,  25.0000,1
  11.0000, 2.000e-07, 4.500e-07, 1.400e-07, 2.413e-09, 2.519e-09,   9.4473,   0.1400,   0.2000,   0.4500,  25.0000,1
  12.0000, 2.000e-07, 4.500e-07, 1.500e-07, 2.737e-09, 2.852e-09,   8.6874,   0.1500,   0.2000,   0.4500,  25.0000,1
  13.0000, 2.000e-07, 5.000e-07, 1.000e-07, 2.000e-09, 2.087e-09,  11.5534,   0.1000,   0.2000,   0.5000,  25.0000,1
  14.0000, 2.000e-07, 5.000e-07, 1.100e-07, 2.004e-09, 2.090e-09,  11.5667,   0.1100,   0.2000,   0.5000,  25.0000,1
  15.0000, 2.000e-07, 5.000e-07, 1.200e-07, 2.087e-09, 2.177e-09,  11.0790,   0.1200,   0.2000,   0.5000,  25.0000,1
  16.0000, 2.000e-07, 5.000e-07, 1.300e-07, 2.316e-09, 2.412e-09,  10.3586,   0.1300,   0.2000,   0.5000,  25.0000,1
  17.0000, 2.000e-07, 5.000e-07, 1.400e-07, 2.396e-09, 2.501e-09,   9.5292,   0.1400,   0.2000,   0.5000,  25.0000,1
  18.0000, 2.000e-07, 5.000e-07, 1.500e-07, 2.595e-09, 2.709e-09,   8.7494,   0.1500,   0.2000,   0.5000,  25.0000,1
  19.0000, 2.000e-07, 5.500e-07, 1.000e-07, 1.914e-09, 2.000e-09,  11.5954,   0.1000,   0.2000,   0.5500,  25.0000,1
  20.0000, 2.000e-07, 5.500e-07, 1.100e-07, 1.996e-09, 2.082e-09,  11.6244,   0.1100,   0.2000,   0.5500,  25.0000,1
  21.0000, 2.000e-07, 5.500e-07, 1.200e-07, 2.080e-09, 2.169e-09,  11.1202,   0.1200,   0.2000,   0.5500,  25.0000,1
  22.0000, 2.000e-07, 5.500e-07, 1.300e-07, 2.217e-09, 2.313e-09,  10.3898,   0.1300,   0.2000,   0.5500,  25.0000,1
  23.0000, 2.000e-07, 5.500e-07, 1.400e-07, 2.386e-09, 2.491e-09,   9.5448,   0.1400,   0.2000,   0.5500,  25.0000,1
  24.0000, 2.000e-07, 5.500e-07, 1.500e-07, 2.586e-09, 2.701e-09,   8.7307,   0.1500,   0.2000,   0.5500,  25.0000,1
  25.0000, 2.000e-07, 6.000e-07, 1.000e-07, 1.914e-09, 2.000e-09,  11.6030,   0.1000,   0.2000,   0.6000,  25.0000,1
  26.0000, 2.000e-07, 6.000e-07, 1.100e-07, 1.990e-09, 2.076e-09,  11.6528,   0.1100,   0.2000,   0.6000,  25.0000,1
  27.0000, 2.000e-07, 6.000e-07, 1.200e-07, 2.079e-09, 2.170e-09,  11.0902,   0.1200,   0.2000,   0.6000,  25.0000,1
  28.0000, 2.000e-07, 6.000e-07, 1.300e-07, 2.217e-09, 2.313e-09,  10.3817,   0.1300,   0.2000,   0.6000,  25.0000,1
  29.0000, 2.000e-07, 6.000e-07, 1.400e-07, 2.386e-09, 2.490e-09,   9.5420,   0.1400,   0.2000,   0.6000,  25.0000,1
  30.0000, 2.000e-07, 6.000e-07, 1.500e-07, 2.589e-09, 2.704e-09,   8.6988,   0.1500,   0.2000,   0.6000,  25.0000,1
